DIAGNOSIS,PATHOLOGY GEATURES,Similar Disease 1,Similar Disease 2,Similar Disease 3,Similar Disease 4
Pilonidal Cyst,Acute and chronic inflammation around sinus tracts or cystic cavity lined by squamous epithelium. Admixed broken hair shafts.,Crohn's Disease,Hidradenitis Suupurativa,Ruptured Epidermal Inclusion Cyst,
Pinta,Moderate acanthosis and spongiosis. Superficial perivascular inflammatory infiltrate of lymphocytes and plasma cells. Late lesions show epidermal atrophy and complete loss of melanin from basal layer. Spirochetes are usually seen with silver stains.,Secondary Syphilis,Yaws,Lyme Disease,Zoon's Balanitis
Pitted Keratolysis,Small pits in partially macerated stratum corneum with Gram positive coccobacilli or filaments.,Dermatophytosis,Candidosis,Darier's Disease,Allergic Contact Dermatitis
Pityriasis Alba,"Mild hyperkeratosis, focal parakeratosis overlying mildly spongiotic epidermis. Reduced melanin pigment in basal layer. Mild superficial perivascular lymphocytic infiltrate in dermis with minimal exocytosis.",Allergic Contact Dermatitis,Chronic Superficial Dermatitis,Vitiligo,Tinea Versicolor
Pityriasis Lichenoides Chronica,"Parakeratotic scale, with scattered dyskeratotic cells in epidermis. Upper dermal sparse inflammation, mostly lymphocytes, sometimes with scattered melanphages. Focal vacuolar alteration at DEJ and dermal fibrosis.  Red cell extravasation.  Neutrophils in vascular lumens in acute phase.  Superficial and deep inflammation in acute phase.",Pityriasis Rosea,Secondary Syphilis,Erythema Multiforme,Lupus Erythematosus
Pityriasis Lichenoides Et Varioliformis Acuta,Compact hyperkeratosis and focal parakeratosis often with neutrophilic scale crust. Dyskeratotic cells in epidermis. Vacuolar interface dermatitis. Dense wedge shaped mixed infiltrate with lymphocytic exocytosis. Red cell extravasation. Neutrophils within dermal vessels.,Pityriasis Rosea,Secondary Syphilis,Erythema Multiforme,Lupus Erythematosus
Pityriasis Rubra Pilaris,"Mild psoriasiform epidermal hyperplasia. Alternating orthokeratosis and parakeratosis in cornified layer, both horizontally and vertically (checker-board pattern). Follicular plugging. Hypergranulosis/normal granular layer and thick suprapapillary plates. Perivascular lymphocytic infiltrate.",Psoriasis,Subacute-Chronic Eczematous Dermatitis,Secondary Syphilis,
Pityrosporum Folliculitis,Yeast forms within hair follicle. Mild to moderate inflammation.,Fungal Folliculitis,Bacterial Folliculitis,Suppurative Folliculitis,Acne Vulgaris
Plantar Fibromatosis,Cellular lesion composed of whorls of fascicular proliferation of fibroblasts and myofibroblasts with pronounced intervening collagen.  Variable mitosis and scattered inflammation.,Hypertrophic Scar,Scar,Fibrosarcoma,
Plasmablastic Lymphoma,"Diffuse infiltrate showing a spectrum of immunoblasts, plasmablasts and plasma cells between collagen bundles. CD20, MUM1, CD138, EMA+, EBV+.",Blastic Plasmacytoid Dendritic Cell Neoplasm,"Diffuse Large B Cell Lymphoma, Leg Type","Diffuse Large B Cell Lymphoma, Not Otherwise Specified",
Pleomorphic Fibroma,"Hypocellular dermal lesion composed of dense collagen and scattered spindle cells showing markedly pleomorphic, hyperchromatic nuclei. Occasional mitotic figures may be seen.",Sclerotic Fibroma,Pleomorphic Lipoma,Fibrous Papule,Hypertrophic Scar
Pleomorphic Lipoma,"Circumscribed, unencapsulated tumor composed of mature adipose tissue, haphazardly arranged spindle cells intermixed with ropy collagen bundles. Scattered pyknotic, smudgy cells and floret like giant cells. background of myxomatous change.",Spindle Cell Lipoma,Atypical Lipomatous Tumor,Well diiferentiated Liposarcoma,
Pleomorphic Liposarcoma,Ill-defined tumor composed of spindled cells with pleomorphism and high degree of cytologic atpyia with admixed mature fat and numerous lipoblasts.,Pleomorphic Rhabdomyosarcoma Fibroma,Malignant Fibrous Histiocytoma,Malignant Peripheral Nerve Sheath Tumor,Fibrosarcoma
Pleomorphic Rhabdomyosarcoma,Poorly circumscribed tumor composed of pleomorphic spindle cells and tumor giant cells. Tumor giant cells show cytoplasmic rhabdomyoblastic differentiation. Myoglobin and MyoD positive.,Ewing Sarcoma-Primitive Neuroectodermal Tumor,Pleomorphic Liposarcoma,Malignant Peripheral Nerve Sheath Tumor,Malignant Fibrous Histiocytoma
Plexiform Fibrohistiocytic Tumor,"Dermal and subcutaneous tumor with plexiform arrangement of nodules  separated by fibrous septa. Nodules composed of interlacing spindled to epithelioid cells, many of which show xanthomatous changes.  Admixed osteoclastic giant cells are often seen within the nodules along with foci  of hemosiderin and a lymphocytic infiltrate. ",Fibrous Hamartoma Of Infancy,Plantar Fibromatosis,Sarcoidosis,Atypical Mycobacterial Infection
Plexiform Neurofibroma,Multiple nodules of neurofibroma  as juxtaposed units throughout dermis and/or subcutis.,Myxoid Neurothekeoma,Dermatofibrosarcoma Protuberans,Myxoid Melanoma,
Pneumocystis Carinii,Foamy to stippled dermis with round 5-10 micron cysts (teacups in saucer appearance). Best seen with GMS.,Cryptococcus,Lobomycosis,Histoplasma Duboisii,
Poikiloderma Of Civatte,Skin with dermal elastosis and focal basilar atypia.Pigment incontinence and telangiectasias are usually seen.,Actinic Keratosis,Dermatomyositis,Poikilodermatous Mycosis Fungoides,
Poikilodermatous Mycosis Fungoides,"Band like mild superficial perivascular infiltrate in dermis with epidermotropism with admixed melanophages. Single lymphocytes lining the dermal-epidermal junction. Lymphocytic nuclei are convoluted/cerebriform, may be surrounded by a halo. Atrophic epidermis, wiry bundles of papillary dermal collagen. Dilated blood vessels in dermis. CD3, CD4 +, CD4:CD8 significantly increased (>10). CD7 decreased or lost.",Adult T Cell Lymphoma,Primary Cutaneous CD8 Aggressive Cytotoxic T Cell L ymphoma,Dermatomyositis,Atrophic Actinic Keratosis
Polyarteritis Nodosa,"Necrotizing vasculitis with large vessel vasculitis and fibrinoid necrosis of small to mid-sized arteries, usually  in deep dermis or subcutaneous fat. Mixed inflammatory infiltrate with/without secondary panniculitis. Vessels at different stages of involvement is characteristic. Long standing lesions exhibit fibrosis around vessel walls with neovascularization of adventitia and loss of internal elastic membrane.",Wegener's Granulomatosis,Microscopic Polyangiitis,Erythema Induratum,Leukocytoclastic Vasculitis
Polymorphous Light Eruption,Variable epidermal spongiosis with dyskeratosis. Marker papillary dermal edema. Red cell extravasation in dermis. Superficial and deep perivascular mixed inflammatory infiltrate.,Lupus Erythematosus,Perniosis,Drug Eruption,Arthropod Bite
Poorly Differentiated Squamous Cell Carcinoma,Squamous cell carcinoma with severe cytologic atypia and none to minimal evidence of squamoid differentiation. Horn pearls and keratinization absent. Frequently spindled morphology. ,Metatypical Basal Cell Carcinoma,Atypical Fibroxanthoma,Carcinosarcoma,Lymphoepithelioma Like Carcinoma
Porocarcinoma,"Background of poroma. Infiltrative growth pattern with surrounding desmoplastic stroma. Tumor necrosis common. Significant cytologic atypia; atypical mitosis, vascular or perineural invasion.",Squamous Cell Carcinoma,Hidradenocarcinoma,Trichilemmal Carcinoma,Spiroadenocarcinoma
Porokeratosis,"Vertical columns of parakeratosis-cornoid lamella. Underlying hypogranulosis, focal thinning of epidermis and scattered dyskeratotic cells.",Actinic Keratosis,Verruca Vulgaris,Porokeratotic Eccrine Ostial And Dermal Duct Nevus,
Porokeratosis Of Mibelli,"Vertical columns of parakeratosis-cornoid lamella. Underlying hypogranulosis, focal thinning of epidermis and scattered dyskeratotic cells.",Actinic Keratosis,Verruca Vulgaris,Porokeratotic Eccrine Ostial And Dermal Duct Nevus,
Porokeratosis Palmaris  Plantaris Et Disseminata,"Compact columns of parakeratosis over sharply delineated areas. Below the hyperkeratosis, there is absent granular layer. ",Verruca Vulgaris,Actinic Keratosis,Porokeratotic Eccrine Ostial And Dermal Duct Nevus,
Porokeratotic Eccrine Ostial And Dermal Duct Nevus,Epidermal invagination with prominent overlying porokeratotic cornoid lamella. Beneath the cornoid lamella is usually the opening of an eccrine duct.,Punctate Keratoderma,Punctate Porokeratosis,Veeruca Plana,
Poroma,Epidermis appears acanthotic with broad bands of small cuboidal cells; sharp demarcation from normal epidermis. Narrow ductal lumina with eosinophilic cuticle.,Seborrheic Keratosis,Porocarcinoma,Nodular Basal Cell Carcinma,Hidradenoma
Porphyria Cutaneous Tarda,"Subepidermal bulla with minimal accompanying inflammation, caterpillar bodies in epidermis. Prominent solar elastosis. Thickened vessel walls in papillary dermis, highlighted by PAS. DIF-C3  and/or IgG deposits around dermal vessels and/or at DEJ.",Cell Poor Bullous Pemphigoid,Epidermolysis Bullous Acquisita,Pseudoporphyria,
Post Inflammatory Pigment Alteration,Reduced melanin in basal layer with pigment incontinence in dermis. Normal number of melanocytes.,Trichrome Vitiligo,Hypomelanosis Of Ito,Piebaldism,Tinea Versicolor
Post-Operative Spindle Nodule,"Proliferation of cytologically bland spindle cells, often with brisk mitotic activity in the dermis. Variable degree of vascular proliferation, hemorrhage and chronic inflammation.",Leiomyosarcoma,Inflammatory Myofibroblastic Tumor,Botyroid Rhabdomyosarcoma,
Post-Steroid Panniculitis,"Lobular panniculitis with patchy infiltrate of macrophages, giant cells, lymphocytes, eosinophils and neutrophils. Characteristic needle shaped crystals in radial fashion within lipocytes and macrophages.",Cold Panniculitis,Infective Panniculitis,Factitial Panniculitis,
Pox virus,Epidermal necrosis and reticular degeneration. Dermal edema. Cytoplasmic and nuclear inclusions. Perivascular lymphocytic infiltrate.,Orf,Hand Foot And Mouth Disease,Herpes,
Precursor B Lymphoblastic Lymphoma,"Monotonous sheets of immature blast cells with round to oval nuclei, freely dispersed chromatin and variable prominent nucleoli. Numerous mitotic figures. CD19, CD79a, CD10, TdT +, CD45 -.",Precursor T  Lymphoblastic Lymphoma,Merkel Cell Lymphoma,Myelomonocytic Leukemia,Blastoid Mantle Cell Lymphoma
Precursor T  Lymphoblastic Lymphoma,"Monotonous sheets of immature blast cells with round to oval nuclei, freely dispersed chromatin and variable prominent nucleoli. Numerous mitotic figures. CD 7, cytoplasmic CD3 +, CD1a, CD2, CD4, CD5, CD8 variable. TdT, CD99, CD34+. CD45 -.",Precursor B Lymphoblastic Lymphoma,Merkel Cell Lymphoma,NK-T Cell Lymphoma,Blastoid Mantle Cell Lymphoma
Pretibial Myxedema,"Large amounts of mucin, more prominent in lower two-thirds, with attenuated collagen bundles. ",Scleromyxedema,Scleredema,Generalized Myxedema,
Primary Cutaneous Anaplastic Large Cell Lymphoma,"Non-epidermotropic, diffuse dermal and subcutaneous infiltrate. Composed of sheets of large, atypical CD30 + cells (>75%). EMA and ALK1 -.",Lymphomatoid Papulosis,Mycosis Fungoides with Large Cell Transformation,Arthropod Bite,NK-T Cell Lymphoma
Primary Cutaneous CD4 Positive Small-Medium T-Cell Lymphoma,"Deep and diffuse infiltrate of small to medium sized cells. +/- Epidermal involvement. <30% large cells. A considerable mixture of reactive lymphocytes and histiocytes often present. CD4+, CD30, CD56-. PD-1 + rosettes. T cell clonality with gene rearrangement studies.",Lymphomatoid Papulosis,"Mycosis Fungoides, Tumor Stage",NK-T Cell Lymphoma,Reactive Lymphoid Infiltrate
Primary Cutaneous CD8 Aggressive Cytotoxic T-Cell Lymphoma,"Band like infiltrate of medium to large sized cells with pronounced epidermotropism. Acanthotic epidermis. Infiltrate can extend deep into dermis, sometimes associated with angiocentricity and angiodestruction. BF1 +, CD3+, CD8+, Cytotoxic phenotype +, Ki67 high.",Type B Lymphomatoid Papulosis,Mycosis Fungoides,Adult T Cell Lymphoma,Pagetoid Reticulosis
"Primary Cutaneous Follicular Center Cell Lymphoma, Diffuse Type","Grenz zone. Predominant diffuse growth pattern with vaguely formed follicles filling most of the dermis. Follicles are variable in size, ill-defined and show a monotonous population of bcl-6 + follicle center cells with broken network of CD21 + follicular dendritic cells. No tingible body macrophages seen. Reduced or absent mantle zone. Admixed reactive T cells. CD19+, CD20+, CD10 -, CD79a+, CD5-, CD43 -, bcl-2 -, bcl-6 +.",Primary Cutaneous Marginal Zone B Cell Lymphoma,Primary Cutaneous CD4 Positive Small-Medium T-Cell Lymphoma,"Diffuse Large B Cell Lymphoma, Leg Type",Reactive Lymphoid Infiltrate
"Primary Cutaneous Follicular Center Cell Lymphoma, Follicular Type","Grenz zone. Follicular, follicular and diffuse or diffuse growth pattern. Follicles are variable in size, ill-defined and show a monotonous population of bcl-6 + follicle center cells with broken network of CD21 + follicular dendritic cells. No tingible body macrophages seen. Reduced or absent mantle zone. Admixed reactive T cells. CD19+, CD20+, CD10 +/- (lost in diffuse type), CD79a+, CD5-, CD43 -, bcl-2 -, bcl-6 +.",Primary Cutaneous Marginal Zone B Cell Lymphoma,Primary Cutaneous CD4 Positive Small-Medium T-Cell Lymphoma,"Diffuse Large B Cell Lymphoma, Leg Type",Reactive Lymphoid Infiltrate
Primary Cutaneous Marginal Zone B Cell Lymphoma,"Grenz zone. Residual reactive lymphoid follicles surrounded by pale staining cuff of tumor cells. Interfollicular infiltrate composed of small to medium sized amphophilic centrocyte like or monocytoid cells with irregular nuclei, inconspicuous nucleoli and thin rim of pale cytoplasm admixed with variable number of plasma and plasmacytoid cells. Intranuclear PAS + Dutcher bodies within plasma cell nuclei in immunocytoma type. CD19+, CD20+, CD22+, CD79a+, bcl-2+,CD5-, CD10-, CD23-, bcl-6-.Reactive germinal centers CD10 +, bcl6 +, bcl2-.","Primary Cutaneous Follicular Center Cell Lymphoma, Follicular Type",Reactive Lymphoid Infiltrate,Primary Cutaneous CD4 Positive Small-Medium T Cell Lymphoma,Arthropod Bite
Prodormal Bullous Pemphigoid,Superficial and deep perivascular lymphocytic infiltrate with admixed eosinophils. +/-Epidermal spongiosis with eosinophilic exocytosis.  Eosinophils along the DEJ.,Drug Eruption,Arthropod Bite,Prodormal Pemphigus Vugaris,
Prodromal Pemphigus Vulgaris,Superficial and deep perivascular lymphocytic infiltrate with admixed eosinophils. +/-Epidermal spongiosis with eosinophilic exocytosis.  Eosinophils along the DEJ.,Drug Eruption,Arthropod Bite,Prodormal Bullous Pemphigoid,
Progressive  Symmetric Erythrokeratoderma,"Basket weave hyperkeratosis, focal parakeratosis. Normal granular layer. Follicular plugging. Acanthotic epidermis. Perinuclear vacuolization of granular cells.",Erythrokeratoderma Variabilis,Psoriasis,Nonbullous Congenital Ichthysiform Erythroderma,
Proliferating Epidermal Cyst,"Multilocular cyst with an acanthotic, papillomatous, proliferating stratified squamous lining, sometimes with squamous eddies. The proliferating epithelium may extend into surrounding stroma, but maintain circumscription. May show atypia and presence of mitotic figures.",Epidermal Inclusion Cyst,Proliferating Pilar Tumor,Squamous Cell Carcinoma,
Proliferating Pilar Tumor,"Multilobulated tumor composed of lobules of squamous epithelium showing abrupt trichilemmal keratinization. Peripheral palisading and thickened basement membrane may be noted. Focal keratinization with squamous eddies. Focal atypia, no infiltration.",Squamous Cell Carcinoma,Trichilemmal Carcinoma,Keratoacanthoma,
Proliferative Fasciitis,"Poorly circumscribed nodular fasciitis like cellular spindle cell proliferation. Admixed clusters and streaks of ganglion  cell like fibroblasts with amphophilic cytoplasm and prominent nucleoli. Mitosis noted, but never atypical.  Traps collagen at periphery.",Neurofibroma,Melanoma,Rhabdomyosarcoma,
Prostatic Adenocarcinoma,"Glandular elements in dermis with atypia. Staining  with PSA, PAP and EMA. CK7 and CK20 negative.",Upper Gastrointestinal Tract Adenocarcinoma ,Lung Adenocarcinoma,Metastatic Adnexal Neoplasm,Syringoid Eccrine Carcinoma
"Protein C, Protein S, Antithrombin 3, Prothrombin defiecincy",Thrombi in dermal vessels with little or no inflammation. No vasculitis.,Coumarin Induced Vasculopathy,"Cryoglobulinemia, Type 1",Thrombotic Thrombocytopenia ,
Protothecosis,Background of suppurative and granulomatous dermatitis. Organisms with septations showing morula and daisy forms seen both free and within macrophages.,Coccidiodomycosis,Chromoblastomycosis,Deep Fungal Infection,Atypical Mycobacterial Infection
Prurigo Nodularis,"Compact hyperkeratosis, focal parakeratosis and hypergranulosis. Psoriasiform hyperplasia of epidermis, often with pseudoepitheliomatous hyperplasia. Occasional mild spongiosis. Collagen bundles in papillary dermis run perpendicular to the surface with admixed vessels and chronic inflammation.",Arthropod Bite,Squamous Cell Carcinoma,Keratoacanthoma,Halogenoderma
Pruritic Papular Eruption Of HIV,Superficial and deep  perivascular lymphocytic infiltrate with admixed eosinophils. Dermal fibrosis and changes suggestive of necrobiosis may be seen.,Eosinophilic Folliculitis,Cytomegalovirus,Infectious Mononucleosis,Drug Eruption
Pruritic Urticarial Papules And Plaques Of Pregnancy,Focal parakeratosis and spongiosis. Perivascular lymphocytes with interstitial eosinophils. DIF-negative.,Herpes Gestationis,Drug Eruption,Allergic Contact Dermatitis,
Psammomatous Melanotic Schwannoma,"Solid, fascicular or whorled growth pattern. Two components-spindled to epithelioid cells with moderate to abundant cytoplasm and nuclear pseudo inclusions and a spindled cell population with dendritic processes. Abundant scattered melanin pigment and psammoma bodies.  Marker for Carney complex.",Melanoma,Epithelioid Schwannoma,Meningioma,
Pseudallescheria,"Epidermal and/or dermal ulceration and necrosis. Granulation tissue with sparse inflammation in dermis, often with thrombosis. Irregular branching, septate  hyphae with narrow angle branching.",Absidia,Rhizopus,Mucor,
Pseudocyst Of Auricle,"Cartilage shows central spaces without any specific lining. Space shows amorphous eosinophilic material or degenerated cartilage. Fibrosis, granulomatous inflammation may be present.",Chondrodermatitis Nodularis Helicis,Chondroma,Gout,
Pseudofolliculitis Barbae,Suppurative and granulomatous inflammation surrounding downgrowths of epidermis. Naked hair shafts with foreign body giant cell reaction.,Bacterial Folliculitis,Suppurative Folliculitis,Acne Vulgaris,
Pseudomonas Folliculitis,Also known as Hot tub folliculitis. Broken follicular epithelium surrounded by acute inflammation and secondary vasculitis.,Bacterial Folliculitis,Suppurative Folliculitis,Majocchi's Granuloma,
Pseudoporphyria,"Subepidermal bulla with minimal accompanying inflammation. Prominent solar elastosis. Thickened vessel walls in papillary dermis, highlighted by PAS. DIF-C3  and/or IgG deposits around dermal vessels and/or at DEJ. Normal UROD activity.",Porphyria Cutaneous Tarda,Epidermolysis Bullous Acquisita,Other Porphyrias,
Psoriasiform Drug Eruption,Psoriasiform hyperplasia with /without hypogranulosis. Spongiosis sometimes. Superficial perivascular lymphocytic infiltrate with admixed eosinophils.,Secondary Syphilis,Psoriasis,Pityriasis Lichenoides Chronica,Lichenoid Drug Eruption
Psoriasis,Acanthotic epidermis with elongated rete ridges. Diminished granular layer with overlying parakeratosis and neutrophilic scale crust; sometimes hypergranulosis. Thinned suprapapillary plates with dilated capillaries within dermal papillae.,Nummular Eczema,Seborrheic Dermatitis,Pityriasis Rubra Pilaris,Lichen Simplex Chronicus
Psoriasis Of Nail,Acanthotic nail bed epithelium with elongated rete ridges. Diminished granular layer with overlying parakeratosis and neutrophilic scale crust; sometimes hypergranulosis. Thinned suprapapillary plates with dilated capillaries within dermal papillae.,Onychomycosis,Paronychia,Allergic Contact Dermatitis,Reiter's Disease
Punctate Keratoderma,"Orthohyperkeratosis, hypergranulosis and acanthosis of skin on palms and soles.",Punctate Porokeratosis,Porokeratotic Eccrine Ostial And Dermal Duct Nevus,,
Punctate Porokeratosis,"Compact columns of hyperkeratosis over sharply delineated areas. Below the hyperkeratosis, there is absent granular layer. Underlying epidermis may show depression. ",Verruca Vulgaris,Actinic Keratosis,Porokeratotic Eccrine Ostial And Dermal Duct Nevus,Punctate Keratoderma
Purpura Fulminans,Epidermis normal or necrotic. Thrombi in most of the dermal vessels with diffuse and extensive hemorrhage. Little or no inflammation. Dermal necrosis often.,Septic Vasculitis,Disseminated Intravascular Coagulation,Coumarin Induced Vasculopathy,
Pustular Dermatosis Of Dorsal Hands,Limited to dorsal hands. Marked papillary dermal edema. Diffuse dermal neutrophilic infiltrate. Usually no LCV.,Sweet's Syndrome,Neutrophilic Eccrine Hidradenitis,Pyoderma Gangrenosum,
Pustular Psoriasis,"Psoriasiform hyperplasia with neutrophilic abscesses, both in subcorneal and intraepidermal locations and associated spongiosis restricted to pustules. Hypogranulosis under parakeratotic foci common. Superficial perivascular infiltrate of lymphocytes and neutrophils. Eosinophils may be sometimes seen.  ",Subcorneal Pustular Dermatosis,Transient Neonatal Pustular Melanosis,Acute Generalized Exanthematous Pustulosis,Dyshidrotic Eczema
PUVA Keratosis,Mild atypia of keratinocytes in lower layers of epidermis. Variable degree of acanthosis with overlying parakeratosis. No solar elastosis.,Actinic Keratosis,Arsenical Keratosis,Large Cell Acanthoma,
Pyoderma Gangrenosum,Epidermal ulceration and focal dermal necrosis. Pseudoepitheliomatous hyperplasia. Diffuse neutrophilic infiltrate with abscess formation and occasionally admixed giant cells. Chronic inflammation towards base of lesion. LCV sometimes.,Sweet's Syndrome,Necrotizing Fascitiis,Spider Bite,
Pyogenic Granuloma,Lobulated proliferation of capillaries often with epidermal collarette. Frequent ulceration. Admixed acute and chronic inflammation.,Bacillary Angiomatosis,Angiosarcoma,Cavernous Hemangioma,Kaposi Sarcoma
Radiation Dermatitis,Hyperkeratosis with epidermal atrophy. Hyalinized stroma and edema of papillary dermis. Large stellate radiation fibroblasts with atypical changes. Loss of adnexa.,Morphea,Scleroderma,Sclerodermoid Graft Versus Host Disease,Lichen Sclerosus
Rapidly Involuting Congenital Hemangioma,Known by the acroynm RICH. Lobules  of small thin walled capillaries separated by dense fibrotic stroma. Hemosiderin along with calcification present in the lobules as well as in fibrotic septa. GLUT1 negative. ,Pyogenic Granuloma,Tufted Angioma,Kaposiform Hemangioendothelioma,Arteriovenous Hemangioma
Reactive  Perforating Collagenosis,"Extrusion of degenerating collagen bundles through broad channels within epidermis. Macrophages, multinucleated giant cells, lymphocytes and neutrophils in plug.",Elastosis Perforans Serpiginosa,Acquired Perforating Collagenosis,Perforating Folliculitis,
Reactive Angioendotheliomatosis,Can be either intraluminal or dermal. The intravascular form shows dilated vessels with proliferation of endothelial cells filling the lumen and associated fibrin thrombi. The dermal form shows numerous clusters of closely packed capillaries with proliferation of endothelial cells in dermal vessels. Extravasation of RBC common. Intravascular thrombi frequently seen. Mild lymphoplasmacytic inflammation. Dermis may show fasciitis like reaction.,Tufted Angioma,Endovascular Papillary Angioendothelioma,Glomeruloid Hemangioma,Kaposiform Angioendotheliomatosis
Reactive Lymphoid Infiltrate,"Top heavy nodular and diffuse polymorphous lymphoid infiltrate, often with histiocytes, eosinophils and/or neutrophils. No epidermal or adnexal involvement. Scattered germinal centers usually present with tingible body macrophages. Prominent vasculature with thick walled vessels and plump endothelial cells seen. Mixture of T and B cells by immunohistochemistry. Negative gene rearrangement studies.",Arthropod Bite,Jessner Lymphocytic Infiltrate,Pityriasis Lichenoides Et Varioliformis Acuta,"Mycosis Fungoides, Tumor Stage"
Recurrent Nevus,"Melanocytic proliferation in association with scar. Can simulate melanoma because of areas of single cell predominance, presence of mild to moderate cytological atypia.",Melanoma,Dyspastic Nevus With Moderate Atypia,Dysplastic Nevus With Severe Atypia,
Regressing Keratosis,Mild epidermal acanthosis. +/-Vacuolar alteration at DEJ. Sparse superficial perivascular lymphocytic infiltrate. Numerous melanophages in papillary dermis.,Seborrheic Keratosis,Post Inflammatory Pigment Alteration,Verruca Vulgaris,Benign Lichenoid Keratosis
Reiter's Syndrome,Psoriasiform hyperplasia. Hyperkeratosis with confluent parakeratosis.  Neutrophilic abscesses in stratum corneum and within epidermis. Thinned suprapapillary plates with dilated tortuous capillaries. Intense perivascular infiltrate.,Psoriasis,Behcet's Disease,Secondary Syphilis,
Renal Cell Carcinoma,"Clear cell nodules in the dermis separated by fibrovascular stroma. Cells show round nuclei and occasional prominent nucleoli. Cells are negative for CK7 and CK20. Positive for RCC, CD10, Vimentin and EMA.",Sebaceous Carcinoma,PEComa,Myxoid Liposarcoma,Hidradenoma
Reticular Erythematous Mucinosis,Mild perivascular and periadnexal lymphocytic infiltrate. Increased dermal mucin. No epidermal changes.,Tumid Lupus,Lupus Erythematosus,Jessner's Lymphocytic Infiltrate,
Reticulate Acropigmentation Of Kimura,Club shaped elongation of rete ridges with intervening epidermal atrophy. Mild superficial perivascular lymphocytic infiltrate with pigment incontinence.,Dowling-Degos Disease,Seborrheic Keratosis,Confluent And Reticulate Papillomatosis,
Reticulohistiocytoma,"Nodular infiltrate of large histiocytes with ground glass cytoplasm, large nucleus with prominent nucleoli. Admixed lymphocytes, sometimes neutrophils and eosinophils.",Xanthogranuloma,Multicentric Reticulohistiocytosis,Rosai-Dorfman Disease,
Retiform Hemangioendothelioma,Arborizing vessels resembling rete testis lined by hobnail endothelial cells. Prominent lymphocytic infiltrate which may be so heavy as to almost obscure the vessels.,Endovascular Papillary Angioendothelioma,Targeoid Hemosiderotic Hemangioma,Kaposi Sarcoma,Tufted Angioma
Rhabdoid Melanoma,Melanoma with small cells showing eosinophilic to amphophilic cytoplasm and an eccentric nucleus. Cells are highly atypical with prominent nucleoli and scattered atypical mitosis.,Nodular Melanoma,Lymphoma,Rhabdoid Tumor,
Rhabdomyomatous Mesenchymal Hamartoma,Polypoid configuration with numerous small vellus hairs in fibrovascular core. Central core shows intersecting bundles of mature skeletal muscle fibers with cross striations and general orientation perpendicular to the surface.,Adult Rhabdomyoma,Fibrous Hamartoma Of Infancy,Spindle Cell Lipoma,Hemosiderotic Fibrohistiocytic Lipomatous Lesion
Rhabdomyosarcoma,"Histology can be of any of the five variants-Embryonal, Alveolar, Spindle cell, Botyroid, Pleomorphic.",Ewing Sarcoma-Primitive Neuroectodermal Tumor,Pleomorphic Liposarcoma,Lymphoma,
Rheumatic Fever Nodule,"Ill-defined palisaded granulomas in deep dermis and subcutaneous tissue around fibrin with variable numbers of neutrophils, lymphocytes, and plasma cells. Admixed karyorrhexis is also common. ",Rheumatoid Nodule,Deep Granuloma Annulare,Palisaded And Neutrophilic Granulomatous Dermatitis,
Rheumatoid Neutrophilic Dermatosis,"Dense, diffuse neutrophilic infiltrate in the dermis, more often in upper to mid dermis. Marked edema of papillary dermis. Variable leukocytoclasis, but no vasculitis. Admixed lymphocytes, plasma cells, histiocytes and eosinophils scattered throughout the dermis. ",Sweet's Syndrome,Erythema Elevatum Diutinum,Granuloma Faciale,
Rheumatoid Nodule,"Palisaded granulomas around sharply demarcated areas of eosinophilic fibrinoid necrosis in deep dermis and subcutaneous tissue. Older lesions may show areas of dense fibrosis. Plasma cells often seen, eosinophils may be present.",Deep Granuloma Annulare,Necrobiosis Lipoidica Diabeticorum,Palisaded And Neutrophilic Granulomatous Dermatitis,
Rheumatoid Vasculitis,"Leukocytoclastic vasculitis involving vessels of all sized, but more commonly affecting medium sized vessels in lower dermis. Intimal proliferation with thrombosis may be noted. Background of necrobiotic changes of rheumatoid nodules.",Polyarteritis Nodosa,Microscopic Polyangiitis,Leukocytoclastic Vasculitis,
Rhinophyma,Prominent sebaceous gland hyperplasia. Scattered follicular plugging.,Rosacea,Sarcoidosis,Acne Vulgaris,
Rhinoscleroma,"Dense infiltrate of macrophages with admixed plasma cells. Some of the larger macrophages (Miculikz cells) contain large number of Gram-negative bacilli. Bacilli visible on H&E, PAS and Giemsa stains. Pseudoepitheliomatous hyperplasia and fibrosis in older lesions. ",Leishmaniasis,Histoplasma Capsulatum,Granuloma Inguinale,Rhinosporidiosis
Rhizopus,"Epidermal and/or dermal ulceration and necrosis. Granulation tissue with sparse inflammation in dermis, often with thrombosis. Broad, hollow appearing hyphae with 90 degree branching.",Aspergillus,Mucor,Absidia,
Rickettsial Pox,Supepidermal edema with exocytosis of lymphocytes into the epidermis. Dense perivascular infiltrate with evidence of early vasculitis and sometimes thrombi within the vessels.,Rocky Mountain Spotted Fever,Parvovirus,Viral Exanthem,
Rocky Mountain Spotted Fever,"Mild leukocytoclastic vasculitis, predominantly lymphocytic with occasional fibrin microthrombi in vessels. Extravasated red blood cells common. Vacuolar alteration at the DEJ. Organisms may be seen in vessels on Giemsa stain.",Viral Exanthem,Meningococcemia,Parvovirus,Arthropod Bite
